Name,League,ATT,MID,DEF,OVR,Logo
Cruz Azul,LIGA Bancomer MX,72,74,73,73,/static/FIFA20/images/crest/5/light/notfound.png
Stade de Reims,Ligue 1 Conforama,72,74,73,73,/static/FIFA20/images/crest/5/light/notfound.png
San Lorenzo,SAF,71,74,72,73,/static/FIFA20/images/crest/5/light/notfound.png
Fluminense,Liga do Brasil,71,74,72,73,/static/FIFA20/images/crest/5/light/notfound.png
VfB Stuttgart,Bundesliga 2,71,73,73,73,/static/FIFA20/images/crest/5/light/notfound.png
Hannover 96,Bundesliga 2,71,73,71,73,/static/FIFA20/images/crest/5/light/notfound.png
Atlanta United,MLS,77,71,70,72,/static/FIFA20/images/crest/5/light/notfound.png
Alanyaspor,Süper Lig,76,73,72,72,/static/FIFA20/images/crest/5/light/notfound.png
BSC Young Boys,RSL,76,73,68,72,/static/FIFA20/images/crest/5/light/notfound.png
Pachuca,LIGA Bancomer MX,75,73,71,72,/static/FIFA20/images/crest/5/light/notfound.png
Brescia,Serie A TIM,75,73,69,72,/static/FIFA20/images/crest/5/light/notfound.png
Toluca,LIGA Bancomer MX,74,73,71,72,/static/FIFA20/images/crest/5/light/notfound.png
Lanús,SAF,74,72,71,72,/static/FIFA20/images/crest/5/light/110395.webp
AZ,Eredivisie,73,74,72,72,/static/FIFA20/images/crest/5/light/1906.webp
Colón,SAF,73,74,69,72,/static/FIFA20/images/crest/5/light/110406.webp
León,LIGA Bancomer MX,73,73,71,72,/static/FIFA20/images/crest/5/light/110781.webp
SD Huesca,LaLiga 1 I 2 I 3,73,72,72,72,/static/FIFA20/images/crest/5/light/110839.webp
Botafogo,Liga do Brasil,73,72,71,72,/static/FIFA20/images/crest/5/light/notfound.png
Stade Brestois,Ligue 1 Conforama,73,72,71,72,/static/FIFA20/images/crest/5/light/notfound.png
Nott'm Forest,EFL Championship,73,72,71,72,/static/FIFA20/images/crest/5/light/notfound.png
Rosario Central,SAF,73,72,70,72,/static/FIFA20/images/crest/5/light/notfound.png
Santos Laguna,LIGA Bancomer MX,73,71,69,72,/static/FIFA20/images/crest/5/light/notfound.png
Vélez Sarsfield,SAF,72,74,72,72,/static/FIFA20/images/crest/5/light/notfound.png
West Brom,EFL Championship,72,73,71,72,/static/FIFA20/images/crest/5/light/notfound.png
Leeds United,EFL Championship,72,72,72,72,/static/FIFA20/images/crest/5/light/notfound.png
Cardiff City,EFL Championship,72,71,72,72,/static/FIFA20/images/crest/5/light/notfound.png
Lecce,Serie A TIM,72,71,71,72,/static/FIFA20/images/crest/5/light/notfound.png
FC København,Superliga,71,73,69,72,/static/FIFA20/images/crest/5/light/notfound.png
Sparta Praha,Rest of World,71,72,72,72,/static/FIFA20/images/crest/5/light/notfound.png
Banfield,SAF,71,72,71,72,/static/FIFA20/images/crest/5/light/notfound.png
Union Berlin,Bundesliga,71,71,72,72,/static/FIFA20/images/crest/5/light/notfound.png
1. FC Nürnberg,Bundesliga 2,71,71,70,72,/static/FIFA20/images/crest/5/light/notfound.png
Göztepe,Süper Lig,70,72,69,72,/static/FIFA20/images/crest/5/light/notfound.png
Uni. Católica,Camp. Scotiabank,70,71,71,72,/static/FIFA20/images/crest/5/light/notfound.png
Stoke City,EFL Championship,68,73,70,72,/static/FIFA20/images/crest/5/light/notfound.png
LA Galaxy,MLS,85,72,69,71,/static/FIFA20/images/crest/5/light/notfound.png
D.C. United,MLS,77,71,69,71,/static/FIFA20/images/crest/5/light/notfound.png
Swansea City,EFL Championship,75,71,70,71,/static/FIFA20/images/crest/5/light/notfound.png
Kayserispor,Süper Lig,75,71,69,71,/static/FIFA20/images/crest/5/light/notfound.png
Guangzhou,CSL,75,71,68,71,/static/FIFA20/images/crest/5/light/notfound.png
Al Ahli,Saudi Professional League,74,72,70,71,/static/FIFA20/images/crest/5/light/notfound.png
Guadalajara,LIGA Bancomer MX,74,71,69,71,/static/FIFA20/images/crest/5/light/notfound.png
Portimonense SC,Liga NOS,73,72,69,71,/static/FIFA20/images/crest/5/light/10031.webp
FC Metz,Ligue 1 Conforama,73,71,72,71,/static/FIFA20/images/crest/5/light/68.webp
Panathinaikos,Rest of World,73,70,70,71,/static/FIFA20/images/crest/5/light/1884.webp
Seattle Sounders,MLS,72,73,68,71,/static/FIFA20/images/crest/5/light/111144.webp
Goiás,Liga do Brasil,72,72,71,71,/static/FIFA20/images/crest/5/light/111042.webp
Santos,Liga do Brasil,72,72,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Tijuana,LIGA Bancomer MX,72,72,70,71,/static/FIFA20/images/crest/5/light/notfound.png
Benevento,Calcio B,72,71,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Brentford,EFL Championship,72,71,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Junior,Liga Dimayor,72,70,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Gazişehir Gaziantep,Süper Lig,72,70,69,71,/static/FIFA20/images/crest/5/light/notfound.png
Dijon FCO,Ligue 1 Conforama,72,70,69,71,/static/FIFA20/images/crest/5/light/notfound.png
Rio Ave FC,Liga NOS,71,73,71,71,/static/FIFA20/images/crest/5/light/notfound.png
CSA,Liga do Brasil,71,72,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Cádiz CF,LaLiga 1 I 2 I 3,71,72,71,71,/static/FIFA20/images/crest/5/light/notfound.png
FC Utrecht,Eredivisie,71,72,70,71,/static/FIFA20/images/crest/5/light/notfound.png
Kasimpaşa,Süper Lig,71,71,69,71,/static/FIFA20/images/crest/5/light/notfound.png
Unión,SAF,71,70,73,71,/static/FIFA20/images/crest/5/light/notfound.png
Huddersfield,EFL Championship,71,70,72,71,/static/FIFA20/images/crest/5/light/notfound.png
Moreirense FC,Liga NOS,71,70,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Sporting KC,MLS,71,70,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Konyaspor,Süper Lig,71,70,69,71,/static/FIFA20/images/crest/5/light/notfound.png
Bristol City,EFL Championship,71,70,69,71,/static/FIFA20/images/crest/5/light/notfound.png
Nîmes Olympique,Ligue 1 Conforama,71,69,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Al Nassr,Saudi Professional League,70,73,70,71,/static/FIFA20/images/crest/5/light/notfound.png
Bahia,Liga do Brasil,70,72,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Santa Clara,Liga NOS,70,72,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Sheffield Wed,EFL Championship,70,72,69,71,/static/FIFA20/images/crest/5/light/notfound.png
RC Deportivo,LaLiga 1 I 2 I 3,70,72,69,71,/static/FIFA20/images/crest/5/light/notfound.png
Çaykur Rizespor,Süper Lig,70,71,71,71,/static/FIFA20/images/crest/5/light/notfound.png
NY Red Bulls,MLS,70,71,71,71,/static/FIFA20/images/crest/5/light/689.webp
Defensa,SAF,70,71,70,71,/static/FIFA20/images/crest/5/light/111710.webp
Frosinone,Calcio B,70,71,70,71,/static/FIFA20/images/crest/5/light/111657.webp
R. Oviedo,LaLiga 1 I 2 I 3,70,71,70,71,/static/FIFA20/images/crest/5/light/110827.webp
Colo-Colo,Camp. Scotiabank,70,69,72,71,/static/FIFA17/images/crest/5/light/110980.webp
Boavista FC,Liga NOS,69,72,70,71,/static/FIFA20/images/crest/5/light/notfound.png
Chapecoense,Liga do Brasil,69,71,71,71,/static/FIFA20/images/crest/5/light/notfound.png
Málaga CF,LaLiga 1 I 2 I 3,69,71,71,71,/static/FIFA20/images/crest/5/light/notfound.png
FC Basel 1893,RSL,65,71,70,71,/static/FIFA20/images/crest/5/light/notfound.png
LAFC,MLS,76,71,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Albacete BP,LaLiga 1 I 2 I 3,73,70,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Atl. Nacional,Liga Dimayor,73,70,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Monarcas Morelia,LIGA Bancomer MX,73,70,69,70,/static/FIFA20/images/crest/5/light/notfound.png
RC Lens,Domino’s Ligue 2,73,70,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Gençlerbirliği,Süper Lig,73,70,68,70,/static/FIFA20/images/crest/5/light/notfound.png
Antalyaspor,Süper Lig,73,69,70,70,/static/FIFA20/images/crest/5/light/notfound.png
FCSB,Liga României,73,69,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Toronto FC,MLS,72,71,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Atlético Tucumán,SAF,72,70,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Kawasaki-F,Meiji Yasuda J1,72,70,69,70,/static/FIFA20/images/crest/5/light/notfound.png
U.N.A.M.,LIGA Bancomer MX,72,70,68,70,/static/FIFA20/images/crest/5/light/notfound.png
Yeni Malatyaspor,Süper Lig,71,72,68,70,/static/FIFA20/images/crest/5/light/notfound.png
Birmingham City,EFL Championship,71,71,71,70,/static/FIFA20/images/crest/5/light/notfound.png
Columbus Crew SC,MLS,71,71,67,70,/static/FIFA20/images/crest/5/light/notfound.png
Vissel Kobe,Meiji Yasuda J1,71,70,72,70,/static/FIFA20/images/crest/5/light/notfound.png
Sp. Charleroi,Pro League,71,70,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Estudiantes,SAF,71,70,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Paderborn,Bundesliga,71,70,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Sivasspor,Süper Lig,71,68,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Talleres,SAF,71,68,68,70,/static/FIFA20/images/crest/5/light/notfound.png
Kaizer Chiefs,Rest of World,71,68,67,70,/static/FIFA20/images/crest/5/light/110929.webp
New York City FC,MLS,70,72,70,70,/static/FIFA20/images/crest/5/light/112828.webp
Avaí,Liga do Brasil,70,71,71,70,/static/FIFA20/images/crest/5/light/111976.webp
Portland Timbers,MLS,70,71,70,70,/static/FIFA20/images/crest/5/light/111140.webp
Belenenses,Liga NOS,70,71,70,70,/static/FIFA20/images/crest/5/light/1889.webp
Empoli,Calcio B,70,71,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Jeonbuk Hyundai,K-League 1,70,70,71,70,/static/FIFA20/images/crest/5/light/notfound.png
Huracán,SAF,70,70,70,70,/static/FIFA20/images/crest/5/light/notfound.png
UD Las Palmas,LaLiga 1 I 2 I 3,70,70,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Rosenborg BK,Eliteserien,70,70,70,70,/static/FIFA20/images/crest/5/light/notfound.png
R. Sporting,LaLiga 1 I 2 I 3,70,70,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Zulte Waregem,Pro League,70,70,68,70,/static/FIFA20/images/crest/5/light/notfound.png
Bielefeld,Bundesliga 2,70,70,68,70,/static/FIFA20/images/crest/5/light/notfound.png
Newell's,SAF,70,69,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Darmstadt,Bundesliga 2,70,69,68,70,/static/FIFA20/images/crest/5/light/notfound.png
Malmö FF,Allsvenskan,69,73,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Philadelphia,MLS,69,73,67,70,/static/FIFA20/images/crest/5/light/notfound.png
Preston,EFL Championship,69,72,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Heidenheim,Bundesliga 2,69,72,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Reading,EFL Championship,69,71,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Derby County,EFL Championship,69,71,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Blackburn Rovers,EFL Championship,69,71,70,70,/static/FIFA20/images/crest/5/light/notfound.png
FC Famalicão,Liga NOS,69,71,69,70,/static/FIFA20/images/crest/5/light/notfound.png
EA Guingamp,Domino’s Ligue 2,69,71,69,70,/static/FIFA20/images/crest/5/light/notfound.png
Arsenal,SAF,69,70,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Athletico-PR,Liga do Brasil,69,70,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Middlesbrough,EFL Championship,69,70,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Marítimo,Liga NOS,69,69,70,70,/static/FIFA20/images/crest/5/light/notfound.png
Puebla,LIGA Bancomer MX,69,69,67,70,/static/FIFA20/images/crest/5/light/notfound.png
Gimnasia,SAF,69,69,67,70,/static/FIFA20/images/crest/5/light/notfound.png
CFR Cluj,Liga României,69,67,70,70,/static/FIFA20/images/crest/5/light/114385.webp
Fortaleza,Liga do Brasil,68,71,70,70,/static/FIFA20/images/crest/5/light/111052.webp
Vitesse,Eredivisie,68,71,69,70,/static/FIFA20/images/crest/5/light/1909.webp
CD Tenerife,LaLiga 1 I 2 I 3,68,71,68,70,/static/FIFA20/images/crest/5/light/260.webp
R. Zaragoza,LaLiga 1 I 2 I 3,68,70,69,70,/static/FIFA20/images/crest/5/light/244.webp
V. Setúbal,Liga NOS,68,69,70,70,/static/FIFA20/images/crest/5/light/notfound.png
UD Almería,LaLiga 1 I 2 I 3,68,69,68,70,/static/FIFA20/images/crest/5/light/notfound.png
Atlas,LIGA Bancomer MX,68,69,67,70,/static/FIFA20/images/crest/5/light/notfound.png
Minnesota United,MLS,67,71,71,70,/static/FIFA20/images/crest/5/light/notfound.png
Shanghai SIPG,CSL,78,66,65,69,/static/FIFA20/images/crest/5/light/notfound.png
Al Ittihad,Saudi Professional League,75,70,65,69,/static/FIFA20/images/crest/5/light/notfound.png
Beijing Guoan,CSL,74,72,67,69,/static/FIFA20/images/crest/5/light/notfound.png
Indep. Medellín,Liga Dimayor,74,68,67,69,/static/FIFA20/images/crest/5/light/notfound.png
Chicago Fire,MLS,73,70,68,69,/static/FIFA20/images/crest/5/light/notfound.png
Orlando City,MLS,72,71,67,69,/static/FIFA20/images/crest/5/light/notfound.png
FC Lorient,Domino’s Ligue 2,72,69,69,69,/static/FIFA20/images/crest/5/light/notfound.png
Denizlispor,Süper Lig,72,69,68,69,/static/FIFA20/images/crest/5/light/notfound.png
Sint-Truiden,Pro League,72,68,68,69,/static/FIFA20/images/crest/5/light/notfound.png
Crotone,Calcio B,72,67,69,69,/static/FIFA20/images/crest/5/light/notfound.png
Impact Montréal,MLS,71,71,69,69,/static/FIFA20/images/crest/5/light/notfound.png
Real Salt Lake,MLS,71,70,67,69,/static/FIFA20/images/crest/5/light/notfound.png
New England,MLS,71,70,67,69,/static/FIFA20/images/crest/5/light/notfound.png
QPR,EFL Championship,71,69,70,69,/static/FIFA20/images/crest/5/light/notfound.png
Chievo Verona,Calcio B,71,69,69,69,/static/FIFA20/images/crest/5/light/notfound.png
Gamba Osaka,Meiji Yasuda J1,71,69,67,69,/static/FIFA20/images/crest/5/light/notfound.png
Deportes Tolima,Liga Dimayor,71,68,69,69,/static/FIFA20/images/crest/5/light/notfound.png
Molde FK,Eliteserien,71,68,69,69,/static/FIFA20/images/crest/5/light/notfound.png
Perugia,Calcio B,71,68,69,69,/static/FIFA20/images/crest/5/light/notfound.png
